coin_id,timestamp,price,market_cap,total_volume
cardano,2026-06-15 18:00:00+00:00,0.1874834477358761,6975512378.26076,731030598.251802
cardano,2026-06-15 19:00:00+00:00,0.1872445442055061,6966623729.40439,733472121.1831292
cardano,2026-06-15 20:00:00+00:00,0.185781538101931,6912191099.173821,739081715.0740185
cardano,2026-06-15 21:00:00+00:00,0.1803258729016619,6709207525.980007,765735186.5783671
cardano,2026-06-15 22:00:00+00:00,0.1797353153652852,6687235232.13317,699011339.7550219
cardano,2026-06-15 23:00:00+00:00,0.1782109633813475,6630520166.023637,709914164.7741407
cardano,2026-06-16 00:00:00+00:00,0.178480049855567,6640531802.007549,675646095.1056507
cardano,2026-06-16 01:00:00+00:00,0.1778503869382223,6617104552.684413,620593929.9974948
cardano,2026-06-16 02:00:00+00:00,0.1771818910135078,6592232481.821751,599319511.9665873
cardano,2026-06-16 03:00:00+00:00,0.1760556132135162,6550328170.6408,586267037.6788378
cardano,2026-06-16 04:00:00+00:00,0.1771511283156994,6591087924.358453,583824323.6312054
cardano,2026-06-16 05:00:00+00:00,0.1759079726254202,6544835052.382978,576781619.636679
cardano,2026-06-16 06:00:00+00:00,0.1769478649591604,6583525304.422093,575239865.4027894
cardano,2026-06-16 07:00:00+00:00,0.1782619703484625,6632417932.118645,594620887.4437742
cardano,2026-06-16 08:00:00+00:00,0.1786600130681395,6647227516.38709,593316429.004523
cardano,2026-06-16 09:00:00+00:00,0.1808771951149639,6729720029.722289,591311971.035627
cardano,2026-06-16 10:00:00+00:00,0.1798966024204104,6693236081.077787,593431386.6411849
cardano,2026-06-16 11:00:00+00:00,0.1792786543421913,6670244694.26047,591285053.7313174
cardano,2026-06-16 12:00:00+00:00,0.1786581231315313,6647157199.373166,552807104.7998521
cardano,2026-06-16 13:00:00+00:00,0.1799354985393511,6694683250.747504,536497735.0483658
cardano,2026-06-16 14:00:00+00:00,0.1770486586954882,6587275437.90799,489451167.9014095
cardano,2026-06-16 15:00:00+00:00,0.1738186637509018,6467100190.494023,481612244.4153023
cardano,2026-06-16 16:00:00+00:00,0.1740623727599279,6476167632.071852,485231956.8799516
cardano,2026-06-16 17:00:00+00:00,0.1730072769460843,6436911719.09075,468603194.2505488
cardano,2026-06-16 18:00:00+00:00,0.174517672058091,6493107505.583378,457055735.8569316
cardano,2026-06-16 19:00:00+00:00,0.1747722216449231,6502578281.885347,461812779.39686745
cardano,2026-06-16 20:00:00+00:00,0.1730160235898575,6437237146.86928,449309855.4729323
cardano,2026-06-16 21:00:00+00:00,0.1748329045449158,6504836050.905279,444130751.8437469
cardano,2026-06-16 22:00:00+00:00,0.1736324925075289,6460173500.013842,421136903.5279134
cardano,2026-06-16 23:00:00+00:00,0.1726586327521602,6423940057.220352,416147289.37188137
cardano,2026-06-17 00:00:00+00:00,0.1722606038901704,6409130988.541252,416038855.2019875
cardano,2026-06-17 01:00:00+00:00,0.1719484143536751,6397515659.281602,405519696.5276628
cardano,2026-06-17 02:00:00+00:00,0.1734967192792604,6455121918.949695,431538489.8045714
